;*******************公共;*******************
85000 0 0 "\\S_001.png"  ;汉江界面图标
85064 0 0 "用户%n界面"  ;
85065 0 0 "出厂%n信息"  ;
85066 0 0 "磨削%n参数"  ;
85067 0 0 "工艺%n参数"  ;
85068 0 0 "修整%n参数"  ;
85069 0 0 "自动%n对刀"  ;
85070 0 0 "外圆%n参数"  ;
85071 0 0 "端面%n参数"  ;
85072 0 0 "加工%n选择"  ;
85073 0 0 "返回"  ;
85074 0 0 "帮助"  ;
85075 0 0 "工件参数"  ;
85076 0 0 "加工%n数据"  ;
85077 0 0 "通磨"  ;
85078 0 0 "前角"  ;
85079 0 0 "平刃后角"  ;
85080 0 0 "齿背"  ;
85081 0 0 "铲背"  ;
85082 0 0 "0-50"  ;
85083 0 0 "51-100"  ;
85084 0 0 "101-150"  ;
85085 0 0 "测量%n数据"  ;
85086 0 0 "齿端平面"  ;
85087 0 0 "首件工件"  ;
85088 0 0 "不是首件"  ;
85089 0 0 "是否是批量中的首件工件"  ;
85090 0 0 "从左到右"  ;
85091 0 0 "从右到左"  ;
85092 0 0 "吸铁台面"  ;
85093 0 0 "内圆加工"  ;
85094 0 0 "螺旋槽"  ;
85095 0 0 "导程模式"  ;
85096 0 0 "标准"  ;
85097 0 0 "测量"  ;
85098 0 0 "靠磨后背"  ;
85099 0 0 "磨削%n基准"  ;
;*******************磨削参数;*******************
85100 0 0 "装夹工件角.C"  ;
85101 0 0 "磨削起始.Z"  ;
85102 0 0 "工件头数"  ;
85103 0 0 "螺纹旋向"  ;
85104 0 0 "标准螺旋距"  ;
85105 0 0 "全长导程补偿"  ;
85106 0 0 "退刀位置.Y"  ;
85107 0 0 "分度圆直径"  ;
85108 0 0 "工件起始.Z"  ;
85109 0 0 "工件右端.Z"  ;
85110 0 0 "首次对刀"  ;
85111 0 0 "二次对刀"  ;
85112 0 0 "位置"  ;
85113 0 0 "全长锥度补偿"  ;
85114 0 0 "V:"  ;
85115 0 0 "W:"  ;
85116 0 0 "X_DRF:"  ;
85117 0 0 "Z_DRF:"  ;
85118 0 0 "X:"  ;
85119 0 0 "Z:"  ;
85120 0 0 "C:"  ;
85121 0 0 "B:"  ;
85122 0 0 "A:"  ;
85123 0 0 "\\panel_51_0_chs.png"  ;
85124 0 0 "右旋"  ;
85125 0 0 "左旋"  ;
85126 0 0 "Y:"  ;
85127 0 0 "Y_DRF"  ;
85128 0 0 "退刀位置.X"  ;
85129 0 0 "通磨起点.Z"  ;
85130 0 0 "通磨终点.Z"  ;
85131 0 0 "加工选择"  ;
85132 0 0 "磨削位.X"  ;
85133 0 0 "齿厚"  ;
85134 0 0 "磨削类型"  ;
85135 0 0 "外螺纹"  ;
85136 0 0 "内螺纹"  ;
85137 0 0 "蜗杆"  ;
85138 0 0 "外圆"  ;
85139 0 0 "环形槽"  ;
85140 0 0 "前刃"  ;
85141 0 0 "齿形平磨"  ;
85142 0 0 "齿顶后刃"  ;
85143 0 0 "齿侧后刃"  ;
85144 0 0 "后背"  ;
85145 0 0 "对刀位置"  ;
85146 0 0 "起点对刀"  ;
85147 0 0 "中点对刀"  ;
85148 0 0 "任意点"  ;
85149 0 0 "前角角度"  ;
85150 0 0 "齿背角度"  ;
85151 0 0 "齿厚";
85152 0 0 "后角角度"  ;
85153 0 0 "齿距";
85154 0 0 "齿深"  ;
85155 0 0 "首齿起始.Z"  ;
85156 0 0 "齿升量"  ;
85157 0 0 "无"  ;
85158 0 0 "当前磨削接触.Y"  ;
85159 0 0 "锥度"  ;
85160 0 0 "分子"  ;
85161 0 0 "分母"  ;
85162 0 0 "有"  ;
85163 0 0 "加工方向"  ;
85164 0 0 "螺旋升角"  ;
85165 0 0 "对刀起始位.X"  ;ifIsExternal
;
85166 0 0 "单件调整"  ;
85167 0 0 "批量生产";
85168 0 0 "当前磨削安全位.Y"  ;
85169 0 0 "初始磨削接触.Y"  ;
85170 0 0 "加工模式"  ;
85171 0 0 "工件中径"  ;
85172 0 0 "安全抬高.Y"  ;
85173 0 0 "当前磨削接触.Z"  ;
85174 0 0 "中径调整"  ;
85175 0 0 "偏刀调整"  ;
85176 0 0 "C轴起始角"  ;
85177 0 0 "齿根起点.Z"  ;
85178 0 0 "螺距"  ;
85179 0 0 "终点补偿.Z"  ;
85180 0 0 "头架中心.X"  ;
85181 0 0 "拉刀类型"  ;
85182 0 0 "平面拉刀"  ;
85183 0 0 "圆拉刀"  ;
85184 0 0 "槽数"  ;
85185 0 0 "起始磨削槽"  ;
85186 0 0 "终止磨削槽"  ;
85187 0 0 "右端初始接触"  ;
85188 0 0 "右端当前接触"  ;
85189 0 0 "斜线进刀"  ;
85190 0 0 "否"  ;
85191 0 0 "是"  ;
85192 0 0 "长度补偿"  ;
85193 0 0 "齿距模式"  ;
85194 0 0 "测量"  ;
85195 0 0 "标准"  ;
85196 0 0 "磨削长度.Z"  ;
85197 0 0 "平移步距.Z"  ;
85198 0 0 "起始偏置.Y"  ;
85199 0 0 "起始偏置.Z"  ;
;*******************工艺参数;*******************
85200 0 0 "\\panel_2_0_chs.png"  ;
85201 0 0 "\\panel_20_0_chs.png"  ;
85202 0 0 "\\panel_11_0_chs.png"  ;
85203 0 0 "粗磨"  ;
85204 0 0 "半精磨"  ;
85205 0 0 "精磨"  ;
85206 0 0 "终磨"  ;
85207 0 0 "工件外径"  ;
85208 0 0 "三线测量"  ;
85209 0 0 "钢球直径"  ;
85210 0 0 "终尺寸H"  ;
85211 0 0 "修整模式"  ;
85212 0 0 "次数"  ;
85213 0 0 "头数"  ;
85214 0 0 "修整后空刀加工一次"  ;
85215 0 0 "前角测量"  ;
85216 0 0 "DIY"  ;
85217 0 0 "界面工艺"  ;
85218 0 0 "工艺模式"  ;
85219 0 0 "设定磨削总量"  ;
85220 0 0 "头架转速"  ;
85221 0 0 "砂轮转速"  ;
85222 0 0 "累计磨削总量"  ;
85223 0 0 "设定磨削总量:   请根据DIY工序自行计算"  ;
85224 0 0 "标准工艺"  ;
85225 0 0 "扩展工艺"  ;
85226 0 0 "工艺类型"  ;
85227 0 0 "已加工"  ;
85228 0 0 "齿"  ;
85229 0 0 "修整设定"  ;
85230 0 0 "底面磨削量"  ;
85231 0 0 "前角底面"  ;
85232 0 0 "前角侧面"  ;
85233 0 0 "单  向"  ;
85234 0 0 "双  向"  ;
85235 0 0 "左端累计磨削"  ;
85236 0 0 "左端设定磨削"  ;
85237 0 0 "右端累计磨削"  ;
85238 0 0 "右端设定磨削"  ;
85239 0 0 "磨削偏移角度"  ;
85240 0 0 "磨削偏移累计.Z"  ;
85241 0 0 "齿内偏移磨削距离"  ;
85242 0 0 "进刀方向"  ;
85243 0 0 "垂直"  ;
85244 0 0 "水平"  ;
85245 0 0 "齿背底面"  ;
85246 0 0 "齿背侧面"  ;
85247 0 0 "平刃后角"  ;
85248 0 0 "通磨"  ;
85249 0 0 "铲背"  ;
85250 0 0 "与前角差值.Y"  ;
85251 0 0 "后背侧面"  ;
85252 0 0 "与首齿差值.Y"  ;
85253 0 0 "与尾齿差值.Y"  ;
85254 0 0 "首齿累计磨削"  ;
85255 0 0 "累计磨削总量"  ;
85256 0 0 "第1头测量导程"  ;
85257 0 0 "第2头测量导程"  ;
85258 0 0 "第3头测量导程"  ;
85259 0 0 "第4头测量导程"  ;
85260 0 0 "第5头测量导程"  ;
85261 0 0 "第6头测量导程"  ;
85262 0 0 "后角测量"  ;
85263 0 0 "退刀位置.Z"  ;
85264 0 0 "主轴负载"  ;
85265 0 0 "主轴转速"  ;
85266 0 0 "修整轮转速"  ;
85267 0 0 "滚轮旋转方向"  ;
85268 0 0 "正向旋转"  ;
85269 0 0 "反向旋转"  ;
85270 0 0 "侧面磨削量"  ;
85271 0 0 "螺旋底面"  ;
85272 0 0 "螺旋侧面"  ;
85273 0 0 "磨圆弧"  ;
85274 0 0 "否"  ;
85275 0 0 "是"  ;
85276 0 0 "圆弧类型"  ;
85277 0 0 "凸圆弧"  ;
85278 0 0 "凹圆弧"  ;
85279 0 0 ""  ;
85280 0 0 "内圆加工"  ;
85281 0 0 "圆心.Z"  ;
85282 0 0 "圆心.X"  ;
85283 0 0 "圆心.Y"  ;
85284 0 0 "右侧磨削接触.Z"  ;
85285 0 0 "磨削深度.Y"  ;
85286 0 0 "磨削圈数"  ;
85287 0 0 "粗磨进给上限"  ;
85288 0 0 "粗磨进给下限"  ;
85289 0 0 ""  ;
85290 0 0 "头架安全.C"  ;
85291 0 0 "磨削类型"  ;
85292 0 0 "通磨槽"  ;
85293 0 0 "通磨外圆"  ;
85294 0 0 "通磨终点.Z"  ;
85295 0 0 "锥度"  ;
85296 0 0 "圆心偏移.Z"  ;
85297 0 0 "加工长度.Z"  ;
85298 0 0 "圆弧半径"  ;
85299 0 0 "半径补偿"  ;
;*******************修整参数;*******************
85300 0 0 "新砂轮是否是成型砂轮"  ;
85301 0 0 "普通"  ;
85302 0 0 "成型"  ;
85303 0 0 "砂轮最小直径"  ;
85304 0 0 "砂轮最大磨削直径"  ;
85305 0 0 "新砂轮成形直径"  ;
85306 0 0 "粗修速度"  ;
85307 0 0 "精修速度"  ;
85308 0 0 "粗修整量"  ;
85309 0 0 "精修整量"  ;
85310 0 0 "修整角度"  ;
85311 0 0 "蜗杆齿高"  ;
85312 0 0 "砂轮中心碰碟轮"  ;
85313 0 0 "当前砂轮厚度"  ;
85314 0 0 "最小砂轮厚度"  ;
85315 0 0 "砂轮直径"  ;
85316 0 0 "新砂轮厚度"  ;
85317 0 0 "砂轮线速度"  ;
85318 0 0 "修整砂轮转速"  ;
85319 0 0 "新砂轮直径"  ;
85320 0 0 "当前砂轮直径"  ;
85321 0 0 "程序路径"  ;
85322 0 0 "内部"  ;
85323 0 0 "后USB"  ;
85324 0 0 "前USB"  ;
85325 0 0 "砂轮锥度角"  ;
85326 0 0 "CF卡"  ;
85327 0 0 "新砂轮"  ;
85328 0 0 "旧砂轮"  ;
85329 0 0 "直径方向参数:"  ;
85330 0 0 "厚度方向参数:"  ;
85331 0 0 "齿顶圆弧半径"  ;
85332 0 0 ""  ;
85333 0 0 ""  ;
85334 0 0 ""  ;
85335 0 0 ""  ;
85336 0 0 ""  ;
85337 0 0 ""  ;
85338 0 0 ""  ;
85339 0 0 ""  ;
85340 0 0 "粗修次数"  ;
85341 0 0 "精修次数"  ;
85342 0 0 ""  ;
85343 0 0 ""  ;
85344 0 0 "V-W"  ;
85345 0 0 "插补"  ;
85346 0 0 "成型V"  ;
85347 0 0 "液压"  ;
85348 0 0 "滚压"  ;
85349 0 0 ""  ;
85350 0 0 "砂轮状态"  ;
85351 0 0 "齿一左半径"  ;
85352 0 0 "齿一右半径"  ;
85353 0 0 "齿形偏转角"  ;
85354 0 0 "齿一厚度"  ;
85355 0 0 "齿一二间距"  ;
85356 0 0 "齿二左角"  ;
85357 0 0 "齿二右角"  ;
85358 0 0 "齿二左半径"  ;
85359 0 0 "齿二右半径"  ;
85360 0 0 "齿二厚度"  ;
85361 0 0 "齿三四间距"  ;
85362 0 0 "基准齿高"  ;
85363 0 0 "齿一二齿高"  ;
85364 0 0 "齿三四齿高"  ;
85365 0 0 "B值长度"  ;
85366 0 0 "累计修整量"  ;
85367 0 0 "修整模式"  ;
85368 0 0 "直径方向"  ;
85369 0 0 "厚度方向"  ;
85370 0 0 "修整安全距离.Z"  ;
85371 0 0 "金刚笔"  ;
85372 0 0 "通磨槽模式"  ;
85373 0 0 "按槽计数"  ;
85374 0 0 "按圈计数"  ;
85375 0 0 ""  ;
85376 0 0 ""  ;
85377 0 0 ""  ;
85378 0 0 "摆缸"  ;
85379 0 0 "滚压轮"  ;
85380 0 0 "单滚轮"  ;
85381 0 0 "双滚轮"  ;
85382 0 0 "方滚轮"  ;
85383 0 0 "三角"  ;
85384 0 0 "梯形"  ;
85385 0 0 "双圆弧"  ;
85386 0 0 "返回"  ;
85387 0 0 "修整器类型"  ;
85388 0 0 "修整轮类型"  ;
85389 0 0 "齿形"  ;
85390 0 0 "齿形一"  ;
85391 0 0 "齿形二"  ;
85392 0 0 "齿形三"  ;
85393 0 0 "齿形四"  ;
85394 0 0 ""  ;
85395 0 0 ""  ;
85396 0 0 ""  ;
85397 0 0 ""  ;
85398 0 0 ""  ;
85399 0 0 ""  ;
;*******************齿形参数;*******************
85400 0 0 "双圆弧"  ;
85401 0 0 "梯形"  ;
85402 0 0 "初始左半角"  ;
85403 0 0 "初始右半角"  ;
85404 0 0 "左圆弧半径"  ;
85405 0 0 "右圆弧半径"  ;
85406 0 0 "左偏心"  ;
85407 0 0 "右偏心"  ;
85408 0 0 "过度斜线角度"  ;
85409 0 0 "过度斜线长度"  ;
85410 0 0 "齿底长度"  ;
85411 0 0 "齿底左圆弧半径"  ;
85412 0 0 "齿底右圆弧半径"  ;
85413 0 0 "左斜面角度"  ;
85414 0 0 "右斜面角度"  ;
85415 0 0 "延长线角度"  ;
85416 0 0 "螺距"  ;
85417 0 0 "齿高"  ;
85418 0 0 "齿底左圆弧"  ;
85419 0 0 "齿底右圆弧"  ;
85420 0 0 "过渡左圆弧"  ;
85421 0 0 "过渡右圆弧"  ;
85422 0 0 "齿底圆弧"  ;
85423 0 0 "齿根高度"  ;
85424 0 0 "三角"  ;
85425 0 0 "标准值: 1.588 2.381 3.175 3.969 4.763 5.953 7.144 9.525 12.7"  ;
85426 0 0 "齿槽高"  ;
85427 0 0 "调整左圆弧"  ;
85428 0 0 "调整右圆弧"  ;
85429 0 0 "砂轮根部过度圆角"  ;
85430 0 0 "外圆直径"  ;
85431 0 0 "公称直径"  ;
85432 0 0 "钢球直径"  ;
85433 0 0 "钢球接触角"  ;
85434 0 0 "初始左圆弧半径"  ;
85435 0 0 "初始右圆弧半径"  ;
85436 0 0 "调整左圆弧半径"  ;
85437 0 0 "调整右圆弧半径"  ;
85438 0 0 "当前左圆弧半径"  ;
85439 0 0 "当前右圆弧半径"  ;
85440 0 0 "过渡圆弧半径"  ;
85441 0 0 "左圆弧理论水平偏心"  ;
85442 0 0 "右圆弧理论水平偏心"  ;
85443 0 0 "左圆弧理论垂直偏心"  ;
85444 0 0 "右圆弧理论垂直偏心"  ;
85445 0 0 "调整左半角"  ;
85446 0 0 "调整右半角"  ;
85447 0 0 "当前左半角"  ;
85448 0 0 "当前右半角"  ;
85449 0 0 "齿顶高H"  ;
85450 0 0 "齿底高H"  ;
85451 0 0 "齿顶圆弧半径-1"  ;
85452 0 0 "齿底圆弧半径"  ;
85453 0 0 "齿侧角"  ;
85454 0 0 "齿底延长"  ;
85455 0 0 "齿顶圆弧半径-2"  ;
85456 0 0 "程序目录"  ;
85457 0 0 "调整清除"  ;
85458 0 0 "自动计算"  ;
85459 0 0 "石油管线管"  ;
85460 0 0 "圆弧圆顶"  ;
85461 0 0 "普通螺纹"  ;
85462 0 0 "通端螺纹"  ;
85463 0 0 "止端螺纹"  ;
85464 0 0 "程序名称"  ;
85465 0 0 "齿底圆弧半径"  ;
85466 0 0 "齿顶左圆弧半径"  ;
85467 0 0 "齿顶右圆弧半径"  ;
85468 0 0 "左斜线角度"  ;
85469 0 0 "右斜线角度"  ;
85470 0 0 "右齿顶圆弧半径"  ;
85471 0 0 "齿高"  ;
85472 0 0 "前刃角度"  ;
85473 0 0 "后刃角度"  ;
85474 0 0 "刃背角度"  ;
85475 0 0 "前刃长度"  ;
85476 0 0 "刃总长"  ;
85477 0 0 "修-磨.角度差"  ;
85478 0 0 "左齿顶圆弧半径"  ;
85479 0 0 "齿顶圆弧半径"  ;
85480 0 0 "左半角角度"  ;
85481 0 0 "左半角长度"  ;
85482 0 0 "右半角角度"  ;
85483 0 0 "右半角长度"  ;
85484 0 0 ""  ;
85485 0 0 "中径小径距"  ;
85486 0 0 "小径"  ;
85487 0 0 "齿顶线延长"  ;
85488 0 0 "过度线角度"  ;
85489 0 0 "左侧斜线角度"  ;
85490 0 0 "右侧斜线角度"  ;
85491 0 0 "锥度"  ;
85492 0 0 ""  ;
85493 0 0 "通磨当前.Y"  ;
85494 0 0 "中径小径距"  ;
85495 0 0 "圆弧角度"  ;
85496 0 0 "齿顶线延长"  ;
85497 0 0 "过度线角度"  ;
85498 0 0 "过度线长度"  ;
85499 0 0 "顶部长度"  ;
;*******************自动对刀;*******************
85500 0 0 "首齿测量.C"  ;
85501 0 0 "接近开关"  ;
85502 0 0 "测头类型"  ;
85503 0 0 "Z轴测量起点"  ;
85504 0 0 "反向孔角度"  ;
85505 0 0 "测量中心距"  ;
85506 0 0 "外圆直径"  ;
85507 0 0 "测头半径"  ;
85508 0 0 "反相孔位置"  ;
85509 0 0 "反向孔类型"  ;
85510 0 0 "圆形孔"  ;
85511 0 0 "腰形孔"  ;
85512 0 0 "工件小径"  ;
85513 0 0 "Z轴测量位"  ;
85514 0 0 "分度累计.C"  ;
85515 0 0 "腰形孔长"  ;
85516 0 0 "腰形孔宽"  ;
85517 0 0 "测头中心位"  ;
85518 0 0 "上边沿接触"  ;
85519 0 0 "下边沿接触"  ;
85520 0 0 "左边沿接触"  ;
85521 0 0 "右边沿接触"  ;
85522 0 0 "中间C坐标"  ;
85523 0 0 "中间Z坐标"  ;
85524 0 0 "接触第一齿"  ;
85525 0 0 "接触第二齿"  ;
85526 0 0 "齿底坐标"  ;
85527 0 0 "测量水平距"  ;
85528 0 0 "开关-砂轮重合位"  ;
85529 0 0 "对刀结果调整"  ;
85530 0 0 "外磨中心位"  ;
85531 0 0 "孔缺口深"  ;
85532 0 0 "外磨测头距"  ;
85533 0 0 "对刀起始角"  ;
85534 0 0 "测头"  ;
85535 0 0 "测头-砂轮重合位"  ;
85536 0 0 "开关-测头距"  ;
85537 0 0 "螺距变换"  ;
85538 0 0 "变螺距"  ;
85539 0 0 "孔1距右端面"  ;
85540 0 0 "孔2距右端面"  ;
85541 0 0 "孔1测量角度"  ;
85542 0 0 "变螺距角度"  ;
85543 0 0 "坐标变换位1"  ;
85544 0 0 "坐标变换位2"  ;
85545 0 0 "螺距变换值"  ;
85546 0 0 "不变螺距"  ;
85547 0 0 "变螺距"  ;
85548 0 0 "孔位置"  ;
85549 0 0 "外圆面"  ;
85550 0 0 "左端面"  ;
85551 0 0 "端面测量角度"  ;
85552 0 0 "外圆测量角度"  ;
85553 0 0 "外圆跳动阈值"  ;
85554 0 0 "外圆测量阈值"  ;
85555 0 0 "外圆跳动测量"  ;
85556 0 0 "累计偏移.Z"  ;
85557 0 0 "最后齿背底面偏置.Z"  ;
85558 0 0 "右端测量设置"  ;
85559 0 0 "右端测量阈值"  ;
85560 0 0 "右端实际测量"  ;
85561 0 0 "外圆当前跳动"  ;
85562 0 0 "右端测量误差"  ;
85563 0 0 "齿号"  ;
85564 0 0 "底面测量.Y"  ;
85565 0 0 "底面偏移.Y"  ;
85566 0 0 "前角测量上.Z"  ;
85567 0 0 "齿距.Z"  ;
85568 0 0 "齿背测量上.Z"  ;
85569 0 0 "齿厚.Z"  ;
85570 0 0 "首齿测量.X"  ;
85571 0 0 "安全抬高.Y"  ;
85572 0 0 "首齿测量.Z"  ;
85573 0 0 "首齿测量.A"  ;
85574 0 0 "首齿测量.B"  ;
85575 0 0 "首齿测量.Y"  ;
85576 0 0 "齿内距顶面.Y"  ;
85577 0 0 "当前测量齿"  ;
85578 0 0 "后角测量.Y"  ;
85579 0 0 "后角偏移.Y"  ;
85580 0 0 "测量底面偏置.Z"  ;
85581 0 0 "测量顶面偏置.Z"  ;
85582 0 0 "测头半径"  ;
85583 0 0 "前角底面.Y"  ;
85584 0 0 "前角当前.Z"  ;
85585 0 0 "齿背当前.Z"  ;
85586 0 0 "后角当前.Y"  ;
85587 0 0 "前刃距底面.Y"  ;
85588 0 0 "铲背当前.Y"  ;
85589 0 0 "齿高.Y"  ;
85590 0 0 "前角测量下.Z"  ;
85591 0 0 "齿背测量下.Z"  ;
85592 0 0 "前刃R"  ;
85593 0 0 "齿背底面.Y"  ;
85594 0 0 "测量模式"  ;
85595 0 0 "全测"  ;
85596 0 0 "前角"  ;
85597 0 0 "前角+底面"  ;
85598 0 0 "测量前角偏置.Z"  ;
85599 0 0 "接触反向距离"  ;
;*******************滚轮参数;*******************
85600 0 0 "修整轮转速"  ;
85601 0 0 "修整基准.Y"  ;
85602 0 0 "齿高"  ;
85603 0 0 "NC用初始接触.V"  ;
85604 0 0 "修整停留时间"  ;
85605 0 0 "液压左接触"  ;
85606 0 0 "液压右接触"  ;
85607 0 0 "滚轮圆弧圆心和砂轮平分线重合时的水平轴坐标"  ;
85608 0 0 "修整中心.W"  ;
85609 0 0 "滚轮间距的中心和砂轮中心重合时的水平轴坐标"  ;
85610 0 0 "左圆弧"  ;
85611 0 0 "右圆弧"  ;
85612 0 0 "圆弧半径"  ;
85613 0 0 "左右高度差"  ;
85614 0 0 "修整轮间距"  ;
85615 0 0 "方滚轮厚度"  ;
85616 0 0 "初始左端接触.V"  ;
85617 0 0 "初始右端接触.V"  ;
85618 0 0 "当前左端接触.V"  ;
85619 0 0 "当前右端接触.V"  ;
85620 0 0 "修整轮直径"  ;
85621 0 0 "修整轮线速度"  ;
85622 0 0 "初始接触.V"  ;
85623 0 0 "当前接触.V"  ;
85624 0 0 "砂轮碰修整端面"  ;
85625 0 0 "修整齿槽到端面"  ;
85626 0 0 "修整基准.Z"  ;
85627 0 0 "初始接触.Y"  ;
85628 0 0 "当前接触.Y"  ;
85629 0 0 "初始左端接触.Y"  ;
85630 0 0 "初始右端接触.Y"  ;
85631 0 0 "当前左端接触.Y"  ;
85632 0 0 "当前右端接触.Y"  ;
85633 0 0 "NC用初始接触.Y"  ;
85634 0 0 "修整位.X"  ;
85635 0 0 "修整位.A"  ;
85636 0 0 "修整位.B"  ;
85637 0 0 "新砂轮抬刀"  ;
85638 0 0 "滚轮选择"  ;
85639 0 0 "左-前"  ;
85640 0 0 "左-后"  ;
85641 0 0 "修整基准.X"  ;
85642 0 0 "后-修整基准.X"  ;
85643 0 0 "计算厚度方向基准.Y:"  ;
85644 0 0 "砂轮实际接触滚轮.Y"  ;
85645 0 0 "砂轮实际厚度"  ;
85646 0 0 "计算直径方向基准.Z:"  ;
85647 0 0 "两端面基准坐标.Z"  ;
85648 0 0 "滚轮垫圈厚度"  ;
85649 0 0 "滚轮端面到圆弧厚度"  ;
85650 0 0 "磨杆长度"  ;
85651 0 0 "磨杆垫圈厚度"  ;
85652 0 0 "砂轮厚度"  ;
85653 0 0 "端面基准.Z"  ;
85654 0 0 "后-端面基准.Z"  ;
85655 0 0 "修整基准.X"  ;
85656 0 0 "端面基准.Z"  ;
85657 0 0 "计算直径方向基准.Y:"  ;
85658 0 0 "砂轮实际直径"  ;
85659 0 0 "滚轮端面到槽底厚度"  ;
85660 0 0 "修整基准.Y"  ;
85661 0 0 "后-修整基准.Y"  ;
85662 0 0 "起点.X"  ;
85663 0 0 "请设置加工"  ;
85664 0 0 "第一齿"  ;
85665 0 0 "尾齿.Z"  ;
85666 0 0 "尾齿.Y"  ;
85667 0 0 "右-前"  ;
85668 0 0 "右-后"  ;
85669 0 0 "砂轮选择"  ;
85670 0 0 "砂轮一"  ;
85671 0 0 "砂轮二"  ;
85672 0 0 "前角+后角"  ;
85673 0 0 "齿升量模式"  ;
85674 0 0 "后角累计.Y"  ;
85675 0 0 "起点.Z"  ;
85676 0 0 "测量杆总长"  ;
85677 0 0 "前+底+后"  ;
85678 0 0 "底面累计.Y"  ;
85679 0 0 "测量第一齿侧.X"  ;
85680 0 0 "齿侧偏移.X"  ;
85681 0 0 "齿侧偏移.Y"  ;
85682 0 0 "齿侧测量值.X"  ;
85683 0 0 "磨削顺序"  ;
85684 0 0 "从前往后"  ;
85685 0 0 "从后往前"  ;
85686 0 0 "齿侧偏移.Z"  ;
85687 0 0 "砂轮基准偏移.X"  ;
85688 0 0 "自动计算起点位:"  ;
85689 0 0 "砂轮基准偏移.Y"  ;
85690 0 0 "起点.Y"  ;
85691 0 0 "测头相对回转中心虚拟半径"  ;
85692 0 0 "测头虚拟半径和测量杆的夹角"  ;
85693 0 0 "测头测量时虚拟半径垂直向下的夹角"  ;
85694 0 0 "虚拟半径"  ;
85695 0 0 "同测量杆夹角"  ;
85696 0 0 "相对垂直夹角"  ;
85697 0 0 "齿轮精度测量"  ;
85698 0 0 "齿槽长度"  ;
85699 0 0 ""  ;
;*******************外圆参数;*******************
85700 0 0 "磨削起点"  ;
85701 0 0 "磨削终点"  ;
85702 0 0 "退刀槽长度"  ;
85703 0 0 "来回"  ;
85704 0 0 "保持"  ;
85705 0 0 "磨削方式"  ;
85706 0 0 "工件外圆长度"  ;
85707 0 0 "在线测量"  ;
85708 0 0 "\\panel_24_0_chs.png"  ;
85709 0 0 "磨削参数"  ;
85710 0 0 "工艺参数"  ;
85711 0 0 "修整参数"  ;
85712 0 0 "磨削起点"  ;
85713 0 0 "磨削终点"  ;
85714 0 0 "外圆退刀位"  ;
85715 0 0 "修整起点"  ;
85716 0 0 "修整终点"  ;
85717 0 0 "初始修整接触"  ;
85718 0 0 "当前修整接触"  ;
85719 0 0 "台阶距左端面"  ;
85720 0 0 "自动测量参考"  ;
85721 0 0 "磨削方向"  ;
85722 0 0 "正向"  ;
85723 0 0 "反向"  ;
85724 0 0 "锥度微调"  ;
